Strategy,Hypothetical_Decision_Threshold,Net_Benefit,TP,FP
M3-Balanced,0.35,0.34997995054467684,6501.0,3096.0
M3-High,0.35,0.3503865089442848,6540.0,3158.0
Treat none,0.36,0.0,,
Treat all,0.36,0.23945210686359686,,
Baseline,0.36,0.3446323848827107,6330.0,2791.0
M1-Interactions,0.36,0.3455373950188242,6356.0,2815.0
M2-Mild,0.36,0.34350564726324934,6396.0,2936.0
M2-Balanced,0.36,0.3442115551694179,6444.0,3004.0
M2-High,0.36,0.34413462930784827,6484.0,3077.0
M3-Mild,0.36,0.34541069359976834,6433.0,2955.0
M3-Balanced,0.36,0.34525684187662903,6468.0,3021.0
M3-High,0.36,0.3450758398494063,6515.0,3109.0
Treat none,0.37,0.0,,
Treat all,0.37,0.22737991808365393,,
Baseline,0.37,0.33867950114692075,6280.0,2728.0
M1-Interactions,0.37,0.3404872229807069,6322.0,2757.0
M2-Mild,0.37,0.3391437857119873,6361.0,2855.0
M2-Balanced,0.37,0.33846804481035586,6401.0,2939.0
M2-High,0.37,0.338358868984412,6450.0,3025.0
M3-Mild,0.37,0.33959313042718775,6386.0,2887.0
M3-Balanced,0.37,0.33990456883593284,6432.0,2958.0
M3-High,0.37,0.3391311443005622,6473.0,3046.0
Treat none,0.38,0.0,,
Treat all,0.38,0.21491830385919675,,
Baseline,0.38,0.3346739160897957,6251.0,2657.0
M1-Interactions,0.38,0.33522509645656423,6277.0,2687.0
M2-Mild,0.38,0.3343679642760386,6324.0,2783.0
M2-Balanced,0.38,0.33298767784908867,6365.0,2881.0
M2-High,0.38,0.33291761254822827,6410.0,2956.0
M3-Mild,0.38,0.33429089244509214,6345.0,2819.0
M3-Balanced,0.38,0.33486075689209005,6397.0,2891.0
M3-High,0.38,0.332744784806106,6426.0,2986.0
Treat none,0.39,0.0,,
Treat all,0.39,0.20204811211918355,,
Baseline,0.39,0.32936671841544296,6200.0,2582.0
M1-Interactions,0.39,0.33048358994079746,6241.0,2622.0
M2-Mild,0.39,0.33037202147811595,6297.0,2712.0
M2-Balanced,0.39,0.32905219030256416,6328.0,2789.0
M2-High,0.39,0.3289085755793252,6381.0,2875.0
M3-Mild,0.39,0.32992218693177233,6317.0,2753.0
M3-Balanced,0.39,0.3294509882117237,6361.0,2832.0
M3-High,0.39,0.3272801507835904,6386.0,2918.0
Treat none,0.4,0.0,,
Treat all,0.4,0.1887489139878366,,
Baseline,0.4,0.32522444251375615,6166.0,2511.0
M1-Interactions,0.4,0.32599671782990636,6198.0,2543.0
M2-Mild,0.4,0.3258036490008688,6264.0,2646.0
M2-Balanced,0.4,0.3238005598996042,6283.0,2716.0
M2-High,0.4,0.3235109566560479,6329.0,2791.0
M3-Mild,0.4,0.323583357466937,6268.0,2698.0
M3-Balanced,0.4,0.32428323197219805,6319.0,2760.0
M3-High,0.4,0.32271454773626795,6350.0,2839.0
Treat none,0.41,0.0,,
Treat all,0.41,0.1749988955808509,,
Baseline,0.41,0.3191795883707118,6118.0,2460.0
M1-Interactions,0.41,0.3205061184820864,6153.0,2484.0
M2-Mild,0.41,0.3199919500115351,6214.0,2582.0
M2-Balanced,0.41,0.3190384681460975,6246.0,2647.0
M2-High,0.41,0.31902006116027826,6293.0,2715.0
M3-Mild,0.41,0.3189930642477433,6228.0,2622.0
M3-Balanced,0.41,0.31823837782915376,6269.0,2696.0
M3-High,0.41,0.31763462869428205,6310.0,2767.0
Treat none,0.42,0.0,,
Treat all,0.42,0.16077473860810693,,
Baseline,0.42,0.3141596013461557,6080.0,2404.0
M1-Interactions,0.42,0.31569499785294153,6107.0,2412.0
M2-Mild,0.42,0.31430440296793394,6166.0,2520.0
M2-Balanced,0.42,0.3140697244774659,6212.0,2588.0
M2-High,0.42,0.3134256069185216,6248.0,2650.0
M3-Mild,0.42,0.3144517011693979,6197.0,2560.0
M3-Balanced,0.42,0.31406972447746595,6233.0,2617.0
M3-High,0.42,0.3128114483158073,6275.0,2699.0
Treat none,0.43,0.0,,
Treat all,0.43,0.1460514884082491,,
Baseline,0.43,0.30833091997297035,6036.0,2356.0
M1-Interactions,0.43,0.31059185757617325,6071.0,2361.0
M2-Mild,0.43,0.3079155679526067,6114.0,2467.0
M2-Balanced,0.43,0.3096912931038863,6177.0,2518.0
M2-High,0.43,0.30835124300760597,6203.0,2577.0
M3-Mild,0.43,0.3092073508416277,6159.0,2503.0
M3-Balanced,0.43,0.30775806443418136,6185.0,2564.0
M3-High,0.43,0.306449769079519,6222.0,2637.0
Treat none,0.44,0.0,,
Treat all,0.44,0.13080240784411068,,
Baseline,0.44,0.3021234123536469,5984.0,2305.0
M1-Interactions,0.44,0.3040420338422076,6016.0,2312.0
M2-Mild,0.44,0.3030542799222209,6077.0,2407.0
M2-Balanced,0.44,0.30357660005792064,6118.0,2450.0
M2-High,0.44,0.3034886847875553,6160.0,2505.0
M3-Mild,0.44,0.30312150924661785,6107.0,2444.0
M3-Balanced,0.44,0.30261987505688637,6148.0,2505.0
M3-High,0.44,0.30163212113689963,6176.0,2558.0
Treat none,0.45,0.0,,
Treat all,0.45,0.11499881525945815,,
Baseline,0.45,0.2972119105915805,5946.0,2250.0
M1-Interactions,0.45,0.29848221572808886,5957.0,2242.0
M2-Mild,0.45,0.2971197641049943,6020.0,2342.0
M2-Balanced,0.45,0.29679066951004396,6058.0,2394.0
M2-High,0.45,0.2969881262670142,6109.0,2453.0
M3-Mild,0.45,0.29729089329436853,6051.0,2377.0
M3-Balanced,0.45,0.29625753626622436,6094.0,2447.0
M3-High,0.45,0.2974554405918437,6140.0,2483.0
Treat none,0.46,0.0,,
Treat all,0.46,0.0986099044309296,,
Baseline,0.46,0.2917564973023994,5897.0,2192.0
M1-Interactions,0.46,0.2932554622389549,5916.0,2190.0
M2-Mild,0.46,0.2932474177044116,5990.0,2277.0
M2-Balanced,0.46,0.29176990485997145,6019.0,2335.0
M2-High,0.46,0.29146957557035746,6060.0,2388.0
M3-Mild,0.46,0.29306239340991724,6013.0,2307.0
M3-Balanced,0.46,0.29258776587186663,6055.0,2364.0
M3-High,0.46,0.29169750404908235,6087.0,2416.0
Treat none,0.47,0.0,,
Treat all,0.47,0.0816025441371736,,
Baseline,0.47,0.28580834822331147,5840.0,2134.0
M1-Interactions,0.47,0.28744214765394055,5867.0,2139.0
M2-Mild,0.47,0.28697359146271495,5943.0,2232.0
M2-Balanced,0.47,0.2867864421968319,5975.0,2271.0
M2-High,0.47,0.28599822959526583,6012.0,2325.0
M3-Mild,0.47,0.28822899420247095,5963.0,2235.0
M3-Balanced,0.47,0.2867427284996913,6001.0,2301.0
M3-High,0.47,0.28690255670486153,6044.0,2347.0
Treat none,0.48,0.0,,
Treat all,0.48,0.06394105460134997,,
Baseline,0.48,0.27988482701775486,5783.0,2077.0
M1-Interactions,0.48,0.2812103187863396,5805.0,2081.0
M2-Mild,0.48,0.2803972019871238,5887.0,2182.0
M2-Balanced,0.48,0.28176724810087106,5929.0,2207.0
M2-High,0.48,0.28030809329679873,5967.0,2270.0
M3-Mild,0.48,0.2824522711577446,5908.0,2174.0
M3-Balanced,0.48,0.28123816525206624,5954.0,2242.0
M3-High,0.48,0.2816837087036913,5998.0,2283.0
Treat none,0.49,0.0,,
Treat all,0.49,0.045586957632749,,
Baseline,0.49,0.27425853051907123,5725.0,2016.0
M1-Interactions,0.49,0.27613527310721564,5749.0,2014.0
M2-Mild,0.49,0.2743422883199037,5828.0,2122.0
M2-Balanced,0.49,0.27581443814131507,5881.0,2156.0
M2-High,0.49,0.2742414950341562,5915.0,2214.0
M3-Mild,0.49,0.27675280943538727,5844.0,2104.0
M3-Balanced,0.49,0.2748803257184716,5895.0,2184.0
M3-High,0.49,0.27493001254947386,5937.0,2227.0
Treat none,0.5,0.0,,
Treat all,0.5,0.026498696785403952,,
Baseline,0.5,0.2690414132638286,5672.0,1956.0
M1-Interactions,0.5,0.27063423110338836,5696.0,1958.0
M2-Mild,0.5,0.26831740515493774,5763.0,2057.0
M2-Balanced,0.5,0.2694758181291631,5824.0,2102.0
M2-High,0.5,0.2673761946133797,5849.0,2156.0
M3-Mild,0.5,0.2701274254271648,5777.0,2046.0
M3-Balanced,0.5,0.27034462785983204,5844.0,2110.0
M3-High,0.5,0.26831740515493774,5868.0,2162.0
